trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[5, 1, 3]	2	2	0.8766454427714052	1	0	pure_pref	pure_pref	4
1	0	2	0	[2, 6, 4]	2	1	0.830206354479742	0	0	pure_pref	pure_pref	4
2	0	3	0	[6, 2, 4]	2	2	0.6142302108310105	1	0	pure_pref	pure_pref	4
3	0	4	0	[3, 1, 5]	2	1	0.5582378817925928	0	0	pure_pref	pure_pref	4
4	0	5	0	[2, 4, 6]	2	1	0.9808369131533254	0	0	pure_pref	pure_pref	4
5	0	6	0	[1, 5, 3]	2	1	1.5067774016497424	0	0	pure_pref	pure_pref	4
6	0	7	0	[6, 2, 4]	2	2	0.8988565098006802	1	0	pure_pref	pure_pref	4
7	0	8	0	[3, 1, 5]	2	2	1.1468672362025245	1	0	pure_pref	pure_pref	4
8	0	9	0	[1, 3, 5]	2	2	1.586961673827318	1	0	pure_pref	pure_pref	4
9	0	10	0	[2, 6, 4]	2	1	1.4309383673535194	0	0	pure_pref	pure_pref	4
10	0	11	0	[4, 6, 2]	2	1	1.6589341275503102	0	0	pure_pref	pure_pref	4
11	0	12	0	[6, 4, 2]	2	1	1.0109845473634778	0	0	pure_pref	pure_pref	4
12	0	13	0	[3, 5, 1]	2	1	0.8710234744212357	0	0	pure_pref	pure_pref	4
13	0	14	0	[6, 4, 2]	2	1	0.9191597900498891	0	0	pure_pref	pure_pref	4
14	0	15	0	[5, 1, 3]	2	2	0.9550298515423492	1	0	pure_pref	pure_pref	4
15	0	16	0	[6, 4, 2]	2	1	1.0270912565283652	0	0	pure_pref	pure_pref	4
16	0	17	0	[3, 5, 1]	2	1	1.3151001914629887	0	0	pure_pref	pure_pref	4
17	0	18	0	[5, 3, 1]	2	1	1.1710930803383235	0	0	pure_pref	pure_pref	4
18	0	19	0	[3, 5, 1]	2	1	1.1231054314994253	0	0	pure_pref	pure_pref	4
19	0	20	0	[1, 5, 3]	2	2	1.663358053076081	1	0	pure_pref	pure_pref	4
0	1	21	0	[4, 6, 2]	2	1	0.7313280111884524	0	0	pure_pref	pure_pref	4
1	1	22	0	[3, 1, 5]	2	2	0.7153799213992897	1	0	pure_pref	pure_pref	4
2	1	23	0	[2, 4, 6]	2	2	1.6313897172367433	1	0	pure_pref	pure_pref	4
3	1	24	0	[6, 4, 2]	2	2	1.243401744937728	1	0	pure_pref	pure_pref	4
4	1	25	0	[3, 5, 1]	2	1	0.8713581302072271	0	0	pure_pref	pure_pref	4
5	1	26	0	[6, 4, 2]	2	1	0.8474706740780675	0	0	pure_pref	pure_pref	4
6	1	27	0	[1, 3, 5]	2	1	1.2394602089298132	0	0	pure_pref	pure_pref	4
7	1	28	0	[3, 1, 5]	2	2	0.9475262219602882	1	0	pure_pref	pure_pref	4
8	1	29	0	[2, 4, 6]	2	1	1.4835860046696325	0	0	pure_pref	pure_pref	4
9	1	30	0	[3, 1, 5]	2	2	0.8395260204197257	1	0	pure_pref	pure_pref	4
10	1	31	0	[4, 6, 2]	2	1	1.0675734096694214	0	0	pure_pref	pure_pref	4
