trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[6, 2, 4]	2	2	1.0968315482364233	1	0	pure_pref	pure_pref	4
1	0	2	0	[3, 1, 5]	2	2	1.4082174049476635	1	0	pure_pref	pure_pref	4
2	0	3	0	[4, 6, 2]	2	1	1.3160474575788612	0	0	pure_pref	pure_pref	4
3	0	4	0	[5, 3, 1]	2	1	1.2044159719152958	0	0	pure_pref	pure_pref	4
4	0	5	0	[6, 2, 4]	2	2	0.7787227729886581	1	0	pure_pref	pure_pref	4
5	0	6	0	[3, 1, 5]	2	2	0.7526369036199867	1	0	pure_pref	pure_pref	4
6	0	7	0	[6, 2, 4]	2	2	0.7849676822834226	1	0	pure_pref	pure_pref	4
7	0	8	0	[2, 6, 4]	2	2	0.9366589548671982	1	0	pure_pref	pure_pref	4
8	0	9	0	[3, 5, 1]	2	1	0.733076466861803	0	0	pure_pref	pure_pref	4
9	0	10	0	[4, 2, 6]	2	2	0.86102153405227	1	0	pure_pref	pure_pref	4
10	0	11	0	[1, 3, 5]	2	2	0.9129345195756287	1	0	pure_pref	pure_pref	4
11	0	12	0	[3, 1, 5]	2	2	0.5973868413416312	1	0	pure_pref	pure_pref	4
12	0	13	0	[6, 2, 4]	2	2	0.5807575933340559	1	0	pure_pref	pure_pref	4
13	0	14	0	[2, 6, 4]	2	2	0.7847689523514418	1	0	pure_pref	pure_pref	4
14	0	15	0	[5, 1, 3]	2	2	1.1047368943204674	1	0	pure_pref	pure_pref	4
15	0	16	0	[6, 4, 2]	2	1	0.7329281191659902	0	0	pure_pref	pure_pref	4
16	0	17	0	[3, 5, 1]	2	1	0.6610419979479047	0	0	pure_pref	pure_pref	4
17	0	18	0	[4, 2, 6]	2	2	0.8369882743118069	1	0	pure_pref	pure_pref	4
18	0	19	0	[6, 2, 4]	2	2	0.6812443417170471	1	0	pure_pref	pure_pref	4
19	0	20	0	[1, 5, 3]	2	1	0.6329122269912659	0	0	pure_pref	pure_pref	4
0	1	21	0	[3, 5, 1]	2	1	0.8331542483265366	0	0	pure_pref	pure_pref	4
1	1	22	0	[6, 4, 2]	2	1	0.7929302526358697	0	0	pure_pref	pure_pref	4
2	1	23	0	[2, 4, 6]	2	1	0.7209940601833296	0	0	pure_pref	pure_pref	4
3	1	24	0	[5, 3, 1]	2	1	0.6852124093315979	0	0	pure_pref	pure_pref	4
4	1	25	0	[4, 6, 2]	2	1	0.9769899350599189	0	0	pure_pref	pure_pref	4
5	1	26	0	[3, 1, 5]	2	2	0.589083413390199	1	0	pure_pref	pure_pref	4
6	1	27	0	[4, 6, 2]	2	1	0.7172352965508253	0	0	pure_pref	pure_pref	4
7	1	28	0	[6, 4, 2]	2	1	0.6810764009292143	0	0	pure_pref	pure_pref	4
8	1	29	0	[1, 3, 5]	2	2	0.7930857533651761	1	0	pure_pref	pure_pref	4
9	1	30	0	[6, 4, 2]	2	1	0.5693572128548112	0	0	pure_pref	pure_pref	4
10	1	31	0	[2, 4, 6]	2	1	0.9533373411054527	0	0	pure_pref	pure_pref	4
11	1	32	0	[5, 3, 1]	2	1	0.7772050858688999	0	0	pure_pref	pure_pref	4
12	1	33	0	[2, 4, 6]	2	1	0.6493663811779697	0	0	pure_pref	pure_pref	4
13	1	34	0	[4, 2, 6]	2	2	1.0935890470259437	1	0	pure_pref	pure_pref	4
14	1	35	0	[1, 3, 5]	2	2	0.7934014198463046	1	0	pure_pref	pure_pref	4
15	1	36	0	[4, 2, 6]	2	2	0.7532570405287515	1	0	pure_pref	pure_pref	4
16	1	37	0	[6, 2, 4]	2	2	0.6213006765215141	1	0	pure_pref	pure_pref	4
17	1	38	0	[2, 6, 4]	2	2	1.0053150149328758	1	0	pure_pref	pure_pref	4
18	1	39	0	[5, 1, 3]	2	2	0.7895605518287994	1	0	pure_pref	pure_pref	4
19	1	40	0	[1, 5, 3]	2	1	0.7412946804133753	0	0	pure_pref	pure_pref	4
0	2	41	0	[4, 6, 2]	2	1	0.9933601188522516	0	0	pure_pref	pure_pref	4
1	2	42	0	[5, 3, 1]	2	1	0.6454337677300828	0	0	pure_pref	pure_pref	4
2	2	43	0	[2, 4, 6]	2	1	0.7541244235976592	0	0	pure_pref	pure_pref	4
3	2	44	0	[3, 1, 5]	2	2	0.6735022713992294	1	0	pure_pref	pure_pref	4
4	2	45	0	[6, 2, 4]	2	2	0.7375959400624197	1	0	pure_pref	pure_pref	4
5	2	46	0	[2, 6, 4]	2	2	0.7581606005314825	1	0	pure_pref	pure_pref	4
6	2	47	0	[6, 2, 4]	2	2	0.5777446111997051	1	0	pure_pref	pure_pref	4
7	2	48	0	[2, 6, 4]	2	2	0.7295466003029105	1	0	pure_pref	pure_pref	4
8	2	49	0	[4, 6, 2]	2	1	0.7741047123254248	0	0	pure_pref	pure_pref	4
9	2	50	0	[6, 4, 2]	2	1	0.47759374439237945	0	0	pure_pref	pure_pref	4
10	2	51	0	[5, 1, 3]	2	2	0.5698700542602637	1	0	pure_pref	pure_pref	4
11	2	52	0	[6, 4, 2]	2	1	0.4657159766738914	0	0	pure_pref	pure_pref	4
12	2	53	0	[2, 4, 6]	2	1	0.7016547454622923	0	0	pure_pref	pure_pref	4
13	2	54	0	[5, 3, 1]	2	1	0.7056237460810735	0	0	pure_pref	pure_pref	4
14	2	55	0	[4, 6, 2]	2	1	0.8302787288375839	0	0	pure_pref	pure_pref	4
15	2	56	0	[1, 5, 3]	2	1	0.9816729950280205	0	0	pure_pref	pure_pref	4
16	2	57	0	[3, 5, 1]	2	1	0.6216580171976602	0	0	pure_pref	pure_pref	4
17	2	58	0	[1, 5, 3]	2	1	0.6783395880911485	0	0	pure_pref	pure_pref	4
18	2	59	0	[5, 1, 3]	2	2	0.6497660180521052	1	0	pure_pref	pure_pref	4
19	2	60	0	[2, 6, 4]	2	2	0.8177615421191149	1	0	pure_pref	pure_pref	4
0	3	61	0	[3, 5, 1]	2	1	0.9018084423832988	0	0	pure_pref	pure_pref	4
1	3	62	0	[6, 4, 2]	2	1	0.8058421002051546	0	0	pure_pref	pure_pref	4
2	3	63	0	[4, 6, 2]	2	1	0.9301301012405929	0	0	pure_pref	pure_pref	4
3	3	64	0	[5, 3, 1]	2	1	0.7585222952284312	0	0	pure_pref	pure_pref	4
4	3	65	0	[6, 2, 4]	2	2	0.7859426718569011	1	0	pure_pref	pure_pref	4
5	3	66	0	[4, 2, 6]	2	1	1.062257205048354	0	0	pure_pref	pure_pref	4
6	3	67	0	[2, 4, 6]	2	1	1.1061768310755724	0	0	pure_pref	pure_pref	4
7	3	68	0	[6, 4, 2]	2	1	0.7579892387275322	0	0	pure_pref	pure_pref	4
8	3	69	0	[4, 6, 2]	2	1	0.8620005666448378	0	0	pure_pref	pure_pref	4
9	3	70	0	[5, 3, 1]	2	1	0.742073117065047	0	0	pure_pref	pure_pref	4
10	3	71	0	[4, 6, 2]	2	1	1.114015311845833	0	0	pure_pref	pure_pref	4
11	3	72	0	[6, 4, 2]	2	1	0.910104406299979	0	0	pure_pref	pure_pref	4
12	3	73	0	[2, 4, 6]	2	1	0.7942716019279032	0	0	pure_pref	pure_pref	4
13	3	74	0	[5, 3, 1]	2	1	0.7867372805844752	0	0	pure_pref	pure_pref	4
14	3	75	0	[2, 4, 6]	2	1	0.7465845042279398	0	0	pure_pref	pure_pref	4
15	3	76	0	[5, 3, 1]	2	1	0.6981995192541035	0	0	pure_pref	pure_pref	4
16	3	77	0	[6, 2, 4]	2	2	0.6701674027553963	1	0	pure_pref	pure_pref	4
17	3	78	0	[4, 2, 6]	2	2	0.9541602509657423	1	0	pure_pref	pure_pref	4
