trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[1, 3, 5]	2	1	1.2230510140298065	0	0	pure_pref	pure_pref	4
1	0	2	0	[2, 6, 4]	2	1	1.267677637860288	0	0	pure_pref	pure_pref	4
2	0	3	0	[5, 1, 3]	2	1	1.267692566065307	0	0	pure_pref	pure_pref	4
3	0	4	0	[4, 2, 6]	2	2	1.7200728371981313	1	0	pure_pref	pure_pref	4
4	0	5	0	[3, 5, 1]	2	2	1.5225621153258544	1	0	pure_pref	pure_pref	4
5	0	6	0	[6, 4, 2]	2	1	1.3960207004438416	0	0	pure_pref	pure_pref	4
6	0	7	0	[4, 6, 2]	2	1	1.3320925299885857	0	0	pure_pref	pure_pref	4
7	0	8	0	[2, 6, 4]	2	2	1.6523218023321533	1	0	pure_pref	pure_pref	4
8	0	9	0	[3, 5, 1]	2	1	1.4203763773602986	0	0	pure_pref	pure_pref	4
9	0	10	0	[6, 4, 2]	2	1	1.4920933385992612	0	0	pure_pref	pure_pref	4
10	0	11	0	[2, 4, 6]	2	2	1.9761612121701546	1	0	pure_pref	pure_pref	4
11	0	12	0	[5, 3, 1]	2	2	1.6929047487237767	1	0	pure_pref	pure_pref	4
12	0	13	0	[6, 2, 4]	2	1	1.7282665555339918	0	0	pure_pref	pure_pref	4
13	0	14	0	[4, 2, 6]	2	2	1.408468335100224	1	0	pure_pref	pure_pref	4
14	0	15	0	[6, 2, 4]	2	2	1.0202684588803095	1	0	pure_pref	pure_pref	4
15	0	16	0	[4, 2, 6]	2	2	1.068539430675628	1	0	pure_pref	pure_pref	4
16	0	17	0	[5, 1, 3]	2	1	1.0444359782177344	0	0	pure_pref	pure_pref	4
17	0	18	0	[1, 5, 3]	2	1	0.8212546534005014	0	0	pure_pref	pure_pref	4
18	0	19	0	[6, 2, 4]	2	2	1.1164788719252101	1	0	pure_pref	pure_pref	4
19	0	20	0	[2, 6, 4]	2	1	1.496378044343146	0	0	pure_pref	pure_pref	4
0	1	21	0	[1, 3, 5]	2	2	1.2005529655816645	1	0	pure_pref	pure_pref	4
1	1	22	0	[3, 1, 5]	2	1	1.2285405502907452	0	0	pure_pref	pure_pref	4
2	1	23	0	[2, 4, 6]	2	2	1.7365433120094167	1	0	pure_pref	pure_pref	4
3	1	24	0	[4, 2, 6]	2	2	0.8048815229258253	1	0	pure_pref	pure_pref	4
4	1	25	0	[2, 4, 6]	2	2	1.3645763033409821	1	0	pure_pref	pure_pref	4
5	1	26	0	[6, 4, 2]	2	1	1.3851112928759903	0	0	pure_pref	pure_pref	4
6	1	27	0	[3, 5, 1]	2	2	1.900609879361582	1	0	pure_pref	pure_pref	4
7	1	28	0	[1, 5, 3]	2	1	2.1247207959213483	0	0	pure_pref	pure_pref	4
8	1	29	0	[4, 6, 2]	2	1	1.3167059050374519	0	0	pure_pref	pure_pref	4
9	1	30	0	[5, 3, 1]	2	2	1.7647731690403816	1	0	pure_pref	pure_pref	4
10	1	31	0	[3, 5, 1]	2	2	1.517131669875198	1	0	pure_pref	pure_pref	4
11	1	32	0	[1, 5, 3]	2	1	1.3052531730209012	0	0	pure_pref	pure_pref	4
12	1	33	0	[2, 4, 6]	2	2	1.8647790781215008	1	0	pure_pref	pure_pref	4
13	1	34	0	[6, 4, 2]	2	1	1.5768833640713638	0	0	pure_pref	pure_pref	4
14	1	35	0	[3, 5, 1]	2	1	1.149174439181479	0	0	pure_pref	pure_pref	4
15	1	36	0	[1, 5, 3]	2	2	1.820899486532653	1	0	pure_pref	pure_pref	4
16	1	37	0	[4, 6, 2]	2	0	0	nan	0	pure_pref	pure_pref	4
