trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[5, 1, 3]	2	2	1.8900426074505958	1	0	pure_pref	pure_pref	4
1	0	2	0	[4, 2, 6]	2	1	1.6518081731665006	0	0	pure_pref	pure_pref	4
2	0	3	0	[2, 4, 6]	2	0	0	nan	0	pure_pref	pure_pref	4
3	0	4	0	[3, 1, 5]	2	2	1.487772594389753	1	0	pure_pref	pure_pref	4
4	0	5	0	[5, 1, 3]	2	2	1.5518996081354999	1	0	pure_pref	pure_pref	4
5	0	6	0	[3, 1, 5]	2	0	0	nan	0	pure_pref	pure_pref	4
6	0	7	0	[1, 3, 5]	2	1	0.8841400758847158	0	0	pure_pref	pure_pref	4
7	0	8	0	[3, 1, 5]	2	2	1.1078630963493197	1	0	pure_pref	pure_pref	4
8	0	9	0	[4, 6, 2]	2	2	1.6239248616038822	1	0	pure_pref	pure_pref	4
9	0	10	0	[1, 5, 3]	2	1	1.4638489767985448	0	0	pure_pref	pure_pref	4
10	0	11	0	[2, 4, 6]	2	1	1.0879066368106578	0	0	pure_pref	pure_pref	4
11	0	12	0	[3, 1, 5]	2	2	1.3362455682035943	1	0	pure_pref	pure_pref	4
12	0	13	0	[6, 2, 4]	2	1	1.3282586925415671	0	0	pure_pref	pure_pref	4
13	0	14	0	[3, 1, 5]	2	1	0.9959628662054456	0	0	pure_pref	pure_pref	4
14	0	15	0	[2, 4, 6]	2	2	1.0999900478946074	1	0	pure_pref	pure_pref	4
15	0	16	0	[6, 4, 2]	2	1	1.4366259252346936	0	0	pure_pref	pure_pref	4
16	0	17	0	[1, 3, 5]	2	2	1.0724647011247725	1	0	pure_pref	pure_pref	4
17	0	18	0	[3, 1, 5]	2	1	0.7483292902907124	0	0	pure_pref	pure_pref	4
18	0	19	0	[4, 6, 2]	2	2	1.1324105865533056	1	0	pure_pref	pure_pref	4
19	0	20	0	[3, 1, 5]	2	1	0.8841192386626062	0	0	pure_pref	pure_pref	4
0	1	21	0	[2, 4, 6]	2	0	0	nan	0	pure_pref	pure_pref	4
1	1	22	0	[3, 1, 5]	2	2	1.7685852460035676	1	0	pure_pref	pure_pref	4
2	1	23	0	[2, 4, 6]	2	0	0	nan	0	pure_pref	pure_pref	4
3	1	24	0	[4, 2, 6]	2	1	0.6484434284993768	0	0	pure_pref	pure_pref	4
4	1	25	0	[5, 1, 3]	2	2	0.8284375194361928	1	0	pure_pref	pure_pref	4
5	1	26	0	[6, 4, 2]	2	2	1.288769048951508	1	0	pure_pref	pure_pref	4
6	1	27	0	[2, 4, 6]	2	1	1.8763699695209652	0	0	pure_pref	pure_pref	4
7	1	28	0	[6, 4, 2]	2	1	1.3167465945134609	0	0	pure_pref	pure_pref	4
8	1	29	0	[1, 3, 5]	2	2	1.4724877153694251	1	0	pure_pref	pure_pref	4
9	1	30	0	[6, 4, 2]	2	1	1.1005150214587047	0	0	pure_pref	pure_pref	4
10	1	31	0	[2, 4, 6]	2	1	1.6130033588360675	0	0	pure_pref	pure_pref	4
11	1	32	0	[5, 3, 1]	2	2	0.7326736953418731	1	0	pure_pref	pure_pref	4
12	1	33	0	[3, 5, 1]	2	2	1.2165693226343137	1	0	pure_pref	pure_pref	4
13	1	34	0	[2, 6, 4]	2	1	1.6047913167876686	0	0	pure_pref	pure_pref	4
14	1	35	0	[3, 5, 1]	2	2	0.7566744417490554	1	0	pure_pref	pure_pref	4
15	1	36	0	[6, 4, 2]	2	2	0.9851427505127504	1	0	pure_pref	pure_pref	4
16	1	37	0	[2, 4, 6]	2	2	0.9492937115119275	1	0	pure_pref	pure_pref	4
17	1	38	0	[3, 1, 5]	2	2	1.6166648006474134	1	0	pure_pref	pure_pref	4
18	1	39	0	[6, 2, 4]	2	1	0.7370812340614066	0	0	pure_pref	pure_pref	4
19	1	40	0	[1, 5, 3]	2	1	1.2609031535739632	0	0	pure_pref	pure_pref	4
