trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[2, 4, 6]	2	1	0.6460609144223781	0	0	pure_pref	pure_pref	4
1	0	2	0	[1, 5, 3]	2	2	0.962444513625087	1	0	pure_pref	pure_pref	4
2	0	3	0	[3, 5, 1]	2	1	0.5385169443952691	0	0	pure_pref	pure_pref	4
3	0	4	0	[4, 2, 6]	2	1	0.5145543565104163	0	0	pure_pref	pure_pref	4
4	0	5	0	[3, 5, 1]	2	1	0.48916956337689044	0	0	pure_pref	pure_pref	4
5	0	6	0	[2, 6, 4]	2	1	0.6591583891295159	0	0	pure_pref	pure_pref	4
6	0	7	0	[6, 2, 4]	2	1	0.5512272234900593	0	0	pure_pref	pure_pref	4
7	0	8	0	[1, 5, 3]	2	2	0.7031080456135896	1	0	pure_pref	pure_pref	4
8	0	9	0	[4, 6, 2]	2	2	0.9634561982243213	1	0	pure_pref	pure_pref	4
9	0	10	0	[3, 1, 5]	2	1	1.0031404829651365	0	0	pure_pref	pure_pref	4
10	0	11	0	[1, 3, 5]	2	1	0.9511551957762094	0	0	pure_pref	pure_pref	4
11	0	12	0	[2, 6, 4]	2	2	0.7432448360700619	1	0	pure_pref	pure_pref	4
12	0	13	0	[1, 3, 5]	2	1	0.8351939974418201	0	0	pure_pref	pure_pref	4
13	0	14	0	[2, 6, 4]	2	2	0.7913161820706591	1	0	pure_pref	pure_pref	4
14	0	15	0	[6, 2, 4]	2	1	0.6912962469396007	0	0	pure_pref	pure_pref	4
15	0	16	0	[4, 2, 6]	2	1	0.767317518128948	0	0	pure_pref	pure_pref	4
16	0	17	0	[1, 3, 5]	2	1	0.7593167194795569	0	0	pure_pref	pure_pref	4
17	0	18	0	[3, 1, 5]	2	2	0.7794151262555715	1	0	pure_pref	pure_pref	4
18	0	19	0	[1, 3, 5]	2	1	0.703396654070275	0	0	pure_pref	pure_pref	4
19	0	20	0	[5, 3, 1]	2	1	0.8113188006950622	0	0	pure_pref	pure_pref	4
0	1	21	0	[3, 5, 1]	2	1	1.3474083862524822	0	0	pure_pref	pure_pref	4
1	1	22	0	[1, 5, 3]	2	2	1.835481050895396	1	0	pure_pref	pure_pref	4
2	1	23	0	[3, 5, 1]	2	2	0.5120153484963339	1	0	pure_pref	pure_pref	4
3	1	24	0	[4, 2, 6]	2	1	1.519463188271402	0	0	pure_pref	pure_pref	4
4	1	25	0	[6, 2, 4]	2	2	0.731559614595426	1	0	pure_pref	pure_pref	4
5	1	26	0	[3, 1, 5]	2	1	0.4955705754973678	0	0	pure_pref	pure_pref	4
6	1	27	0	[1, 3, 5]	2	1	0.6435187964034412	0	0	pure_pref	pure_pref	4
7	1	28	0	[3, 1, 5]	2	1	0.43161954439028705	0	0	pure_pref	pure_pref	4
8	1	29	0	[2, 4, 6]	2	2	1.5555874503838822	1	0	pure_pref	pure_pref	4
9	1	30	0	[5, 3, 1]	2	2	1.2875526096208887	1	0	pure_pref	pure_pref	4
10	1	31	0	[3, 5, 1]	2	2	0.7636592193452998	1	0	pure_pref	pure_pref	4
11	1	32	0	[6, 4, 2]	2	2	1.9356244532218625	1	0	pure_pref	pure_pref	4
12	1	33	0	[2, 4, 6]	2	1	0.41967805851072626	0	0	pure_pref	pure_pref	4
13	1	34	0	[1, 5, 3]	2	2	0.6597268980285662	1	0	pure_pref	pure_pref	4
14	1	35	0	[5, 1, 3]	2	2	2.2557450343329037	1	0	pure_pref	pure_pref	4
15	1	36	0	[1, 5, 3]	2	2	1.3516722029939956	1	0	pure_pref	pure_pref	4
16	1	37	0	[6, 2, 4]	2	2	0.8837937332782531	1	0	pure_pref	pure_pref	4
17	1	38	0	[1, 5, 3]	2	2	1.3437650154924086	1	0	pure_pref	pure_pref	4
18	1	39	0	[3, 5, 1]	2	2	1.2077330894258012	1	0	pure_pref	pure_pref	4
19	1	40	0	[4, 2, 6]	2	2	1.6237366771279085	1	0	pure_pref	pure_pref	4
0	2	41	0	[2, 4, 6]	2	1	0.8719467915479981	0	0	pure_pref	pure_pref	4
1	2	42	0	[6, 4, 2]	2	2	0.7119793346391816	1	0	pure_pref	pure_pref	4
2	2	43	0	[4, 6, 2]	2	1	1.0199267345042244	0	0	pure_pref	pure_pref	4
3	2	44	0	[6, 4, 2]	2	2	0.5282374451435317	1	0	pure_pref	pure_pref	4
4	2	45	0	[2, 4, 6]	2	1	0.5879532715539426	0	0	pure_pref	pure_pref	4
5	2	46	0	[6, 4, 2]	2	2	0.7001606939543308	1	0	pure_pref	pure_pref	4
6	2	47	0	[2, 4, 6]	2	1	0.6160279079399515	0	0	pure_pref	pure_pref	4
7	2	48	0	[4, 2, 6]	2	2	1.288165591589859	1	0	pure_pref	pure_pref	4
8	2	49	0	[1, 3, 5]	2	1	1.8080082004607902	0	0	pure_pref	pure_pref	4
9	2	50	0	[5, 3, 1]	2	2	1.6120492786499199	1	0	pure_pref	pure_pref	4
10	2	51	0	[2, 4, 6]	2	1	0.8200644455218935	0	0	pure_pref	pure_pref	4
11	2	52	0	[4, 2, 6]	2	1	0.8040839962568498	0	0	pure_pref	pure_pref	4
12	2	53	0	[1, 3, 5]	2	1	1.7721271407331187	0	0	pure_pref	pure_pref	4
13	2	54	0	[3, 1, 5]	2	1	2.0561032446989884	0	0	pure_pref	pure_pref	4
14	2	55	0	[2, 4, 6]	2	2	2.3481824664768283	1	0	pure_pref	pure_pref	4
15	2	56	0	[5, 3, 1]	2	1	2.408104486213233	0	0	pure_pref	pure_pref	4
16	2	57	0	[2, 4, 6]	2	2	1.7642128002207755	1	0	pure_pref	pure_pref	4
17	2	58	0	[4, 2, 6]	2	1	1.684218808749847	0	0	pure_pref	pure_pref	4
18	2	59	0	[3, 5, 1]	2	2	1.4085601019332898	1	0	pure_pref	pure_pref	4
19	2	60	0	[5, 3, 1]	2	1	1.8324568821144567	0	0	pure_pref	pure_pref	4
0	3	61	0	[1, 3, 5]	2	0	0	nan	0	pure_pref	pure_pref	4
1	3	62	0	[2, 6, 4]	2	1	0.9964847614423888	0	0	pure_pref	pure_pref	4
2	3	63	0	[1, 3, 5]	2	1	1.924400756477553	0	0	pure_pref	pure_pref	4
3	3	64	0	[5, 3, 1]	2	1	1.8844210212696453	0	0	pure_pref	pure_pref	4
4	3	65	0	[3, 5, 1]	2	2	1.4604234769294635	1	0	pure_pref	pure_pref	4
5	3	66	0	[5, 3, 1]	2	1	1.0365083477199732	0	0	pure_pref	pure_pref	4
6	3	67	0	[3, 5, 1]	2	2	0.9324531812085297	1	0	pure_pref	pure_pref	4
7	3	68	0	[5, 3, 1]	2	1	1.2005797671163236	0	0	pure_pref	pure_pref	4
8	3	69	0	[4, 6, 2]	2	2	1.6365676244131464	1	0	pure_pref	pure_pref	4
9	3	70	0	[2, 6, 4]	2	2	1.832530900231177	1	0	pure_pref	pure_pref	4
10	3	71	0	[3, 5, 1]	2	2	1.0806156814537644	1	0	pure_pref	pure_pref	4
11	3	72	0	[5, 3, 1]	2	1	1.8805680361779196	0	0	pure_pref	pure_pref	4
12	3	73	0	[1, 3, 5]	2	1	0.9646479521084075	0	0	pure_pref	pure_pref	4
13	3	74	0	[2, 6, 4]	2	2	1.0247226730866714	1	0	pure_pref	pure_pref	4
14	3	75	0	[4, 6, 2]	2	1	1.6965167011931044	0	0	pure_pref	pure_pref	4
15	3	76	0	[2, 6, 4]	2	2	2.0607349750221147	1	0	pure_pref	pure_pref	4
16	3	77	0	[3, 5, 1]	2	2	2.3447763890917486	1	0	pure_pref	pure_pref	4
17	3	78	0	[2, 6, 4]	2	2	0.680795315337491	1	0	pure_pref	pure_pref	4
