trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[1, 3, 5]	2	2	1.1654285180252373	1	0	pure_pref	pure_pref	4
1	0	2	0	[3, 1, 5]	2	2	1.2978541832339943	1	0	pure_pref	pure_pref	4
2	0	3	0	[1, 3, 5]	2	2	1.3979611988361285	1	0	pure_pref	pure_pref	4
3	0	4	0	[5, 3, 1]	2	2	0.9298980941521222	1	0	pure_pref	pure_pref	4
4	0	5	0	[2, 4, 6]	2	2	0.880645415107665	1	0	pure_pref	pure_pref	4
5	0	6	0	[4, 2, 6]	2	2	0.9464558118243076	1	0	pure_pref	pure_pref	4
6	0	7	0	[6, 2, 4]	2	2	0.7105049139786388	1	0	pure_pref	pure_pref	4
7	0	8	0	[2, 6, 4]	2	2	1.0944757121856128	1	0	pure_pref	pure_pref	4
8	0	9	0	[5, 1, 3]	2	1	0.8585440964302506	0	0	pure_pref	pure_pref	4
9	0	10	0	[3, 1, 5]	2	1	1.2105865518615246	0	0	pure_pref	pure_pref	4
10	0	11	0	[2, 4, 6]	2	2	0.9706035201011218	1	0	pure_pref	pure_pref	4
11	0	12	0	[4, 2, 6]	2	2	1.3586285333265096	1	0	pure_pref	pure_pref	4
12	0	13	0	[6, 2, 4]	2	1	0.6547196492897456	0	0	pure_pref	pure_pref	4
13	0	14	0	[2, 6, 4]	2	1	0.698753101850798	0	0	pure_pref	pure_pref	4
14	0	15	0	[4, 6, 2]	2	1	1.5226220906201888	0	0	pure_pref	pure_pref	4
15	0	16	0	[6, 4, 2]	2	2	0.9187051516457814	1	0	pure_pref	pure_pref	4
16	0	17	0	[1, 3, 5]	2	2	0.8147746841079879	1	0	pure_pref	pure_pref	4
17	0	18	0	[4, 2, 6]	2	1	0.8707683197742426	0	0	pure_pref	pure_pref	4
18	0	19	0	[6, 2, 4]	2	1	0.7868088109200926	0	0	pure_pref	pure_pref	4
19	0	20	0	[5, 3, 1]	2	2	0.7467717271060792	1	0	pure_pref	pure_pref	4
0	1	21	0	[4, 6, 2]	2	2	1.1228720113924737	1	0	pure_pref	pure_pref	4
