trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[6, 2, 4]	2	2	1.8281123848510106	1	0	pure_pref	pure_pref	4
1	0	2	0	[3, 1, 5]	2	1	1.5842702884265236	0	0	pure_pref	pure_pref	4
2	0	3	0	[4, 6, 2]	2	2	2.1442949200400108	1	0	pure_pref	pure_pref	4
3	0	4	0	[3, 1, 5]	2	1	1.57238242447238	0	0	pure_pref	pure_pref	4
4	0	5	0	[2, 4, 6]	2	2	2.387010866523269	1	0	pure_pref	pure_pref	4
5	0	6	0	[5, 3, 1]	2	2	2.0488564337647404	1	0	pure_pref	pure_pref	4
6	0	7	0	[6, 2, 4]	2	1	1.424952260696955	0	0	pure_pref	pure_pref	4
7	0	8	0	[2, 6, 4]	2	1	1.6890345775618698	0	0	pure_pref	pure_pref	4
8	0	9	0	[3, 5, 1]	2	2	1.7530136406894599	1	0	pure_pref	pure_pref	4
9	0	10	0	[1, 5, 3]	2	1	1.0371116322176022	0	0	pure_pref	pure_pref	4
10	0	11	0	[4, 6, 2]	2	1	1.9130252100840153	0	0	pure_pref	pure_pref	4
11	0	12	0	[2, 6, 4]	2	1	2.3050056291940564	0	0	pure_pref	pure_pref	4
12	0	13	0	[4, 6, 2]	2	1	2.3570492445687705	0	0	pure_pref	pure_pref	4
13	0	14	0	[1, 5, 3]	2	1	1.277106904937682	0	0	pure_pref	pure_pref	4
14	0	15	0	[6, 2, 4]	2	1	2.3131847557679066	0	0	pure_pref	pure_pref	4
15	0	16	0	[1, 5, 3]	2	1	1.4017061746981199	0	0	pure_pref	pure_pref	4
16	0	17	0	[3, 5, 1]	2	1	2.477164129900302	0	0	pure_pref	pure_pref	4
17	0	18	0	[6, 4, 2]	2	2	2.317188015102147	1	0	pure_pref	pure_pref	4
18	0	19	0	[2, 4, 6]	2	0	0	nan	0	pure_pref	pure_pref	4
19	0	20	0	[5, 3, 1]	2	1	1.8373029004342243	0	0	pure_pref	pure_pref	4
0	1	21	0	[4, 6, 2]	2	1	2.485481031791096	0	0	pure_pref	pure_pref	4
1	1	22	0	[5, 3, 1]	2	2	1.5296080090065516	1	0	pure_pref	pure_pref	4
2	1	23	0	[3, 5, 1]	2	1	2.273478095901737	0	0	pure_pref	pure_pref	4
3	1	24	0	[5, 3, 1]	2	2	1.2976220540031136	1	0	pure_pref	pure_pref	4
4	1	25	0	[2, 4, 6]	2	0	0	nan	0	pure_pref	pure_pref	4
5	1	26	0	[4, 2, 6]	2	1	2.3416768780052735	0	0	pure_pref	pure_pref	4
6	1	27	0	[1, 3, 5]	2	2	0.9217293134870488	1	0	pure_pref	pure_pref	4
7	1	28	0	[6, 4, 2]	2	1	1.8697864638088504	0	0	pure_pref	pure_pref	4
8	1	29	0	[2, 4, 6]	2	0	0	nan	0	pure_pref	pure_pref	4
9	1	30	0	[4, 2, 6]	2	0	0	nan	0	pure_pref	pure_pref	4
10	1	31	0	[3, 5, 1]	2	2	2.025826807406702	1	0	pure_pref	pure_pref	4
11	1	32	0	[1, 5, 3]	2	1	1.0338541634273497	0	0	pure_pref	pure_pref	4
12	1	33	0	[2, 4, 6]	2	2	1.6098622868830716	1	0	pure_pref	pure_pref	4
13	1	34	0	[1, 5, 3]	2	1	1.701898686936147	0	0	pure_pref	pure_pref	4
14	1	35	0	[6, 2, 4]	2	2	2.38584895097938	1	0	pure_pref	pure_pref	4
15	1	36	0	[1, 5, 3]	2	0	0	nan	0	pure_pref	pure_pref	4
16	1	37	0	[6, 2, 4]	2	2	1.0620128880564152	1	0	pure_pref	pure_pref	4
