trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[3, 5, 1]	2	1	1.3359442060082074	0	0	pure_pref	pure_pref	4
1	0	2	0	[4, 2, 6]	2	1	0.94229396031551	0	0	pure_pref	pure_pref	4
2	0	3	0	[2, 4, 6]	2	1	1.2261653293517156	0	0	pure_pref	pure_pref	4
3	0	4	0	[3, 1, 5]	2	2	0.8383081420670351	1	0	pure_pref	pure_pref	4
4	0	5	0	[4, 6, 2]	2	2	0.9691562480566063	1	0	pure_pref	pure_pref	4
5	0	6	0	[3, 1, 5]	2	2	1.1670597748325235	1	0	pure_pref	pure_pref	4
6	0	7	0	[4, 6, 2]	2	2	1.4829660384402814	1	0	pure_pref	pure_pref	4
7	0	8	0	[1, 5, 3]	2	1	1.1910151147603756	0	0	pure_pref	pure_pref	4
8	0	9	0	[4, 6, 2]	2	2	0.9390756982011226	1	0	pure_pref	pure_pref	4
9	0	10	0	[1, 5, 3]	2	1	0.8834502705740306	0	0	pure_pref	pure_pref	4
10	0	11	0	[6, 2, 4]	2	2	0.8673191515845247	1	0	pure_pref	pure_pref	4
11	0	12	0	[2, 6, 4]	2	2	1.259141630900558	1	0	pure_pref	pure_pref	4
12	0	13	0	[4, 6, 2]	2	2	1.931125209928723	1	0	pure_pref	pure_pref	4
13	0	14	0	[1, 5, 3]	2	1	1.0032733096977609	0	0	pure_pref	pure_pref	4
14	0	15	0	[4, 6, 2]	2	2	0.9756630590291024	1	0	pure_pref	pure_pref	4
15	0	16	0	[2, 6, 4]	2	2	1.331232817066848	1	0	pure_pref	pure_pref	4
16	0	17	0	[3, 5, 1]	2	1	0.8478861105922988	0	0	pure_pref	pure_pref	4
17	0	18	0	[1, 5, 3]	2	1	0.8155181314905349	0	0	pure_pref	pure_pref	4
18	0	19	0	[6, 2, 4]	2	2	1.279565839397037	1	0	pure_pref	pure_pref	4
19	0	20	0	[3, 1, 5]	2	2	0.931912048266895	1	0	pure_pref	pure_pref	4
0	1	21	0	[4, 6, 2]	2	0	0	nan	0	pure_pref	pure_pref	4
1	1	22	0	[2, 6, 4]	2	0	0	nan	0	pure_pref	pure_pref	4
2	1	23	0	[4, 6, 2]	2	2	2.175521552528153	1	0	pure_pref	pure_pref	4
3	1	24	0	[6, 4, 2]	2	2	2.3121667599662032	1	0	pure_pref	pure_pref	4
4	1	25	0	[3, 5, 1]	2	1	1.0556493748845241	0	0	pure_pref	pure_pref	4
5	1	26	0	[6, 4, 2]	2	2	1.6278733594590449	1	0	pure_pref	pure_pref	4
6	1	27	0	[4, 6, 2]	2	2	1.2718968091066927	1	0	pure_pref	pure_pref	4
7	1	28	0	[6, 4, 2]	2	1	1.083702805250141	0	0	pure_pref	pure_pref	4
8	1	29	0	[3, 5, 1]	2	1	0.8117167381969921	0	0	pure_pref	pure_pref	4
9	1	30	0	[5, 3, 1]	2	1	1.4398700006222498	0	0	pure_pref	pure_pref	4
10	1	31	0	[1, 3, 5]	2	2	1.6597020588415035	1	0	pure_pref	pure_pref	4
11	1	32	0	[6, 4, 2]	2	2	2.2202839460096584	1	0	pure_pref	pure_pref	4
12	1	33	0	[2, 4, 6]	2	1	1.1879803445917787	0	0	pure_pref	pure_pref	4
13	1	34	0	[6, 4, 2]	2	2	1.551845182559191	1	0	pure_pref	pure_pref	4
14	1	35	0	[5, 1, 3]	2	2	2.0158098525844252	1	0	pure_pref	pure_pref	4
15	1	36	0	[1, 5, 3]	2	1	1.5558341108408058	0	0	pure_pref	pure_pref	4
16	1	37	0	[5, 1, 3]	2	2	2.387962306400368	1	0	pure_pref	pure_pref	4
17	1	38	0	[6, 4, 2]	2	2	1.299904521987628	1	0	pure_pref	pure_pref	4
18	1	39	0	[5, 1, 3]	2	2	1.183870436027064	1	0	pure_pref	pure_pref	4
19	1	40	0	[2, 6, 4]	2	2	1.4879035267767904	1	0	pure_pref	pure_pref	4
0	2	41	0	[6, 2, 4]	2	1	2.344550911238912	0	0	pure_pref	pure_pref	4
1	2	42	0	[4, 2, 6]	2	1	0.8442153386822611	0	0	pure_pref	pure_pref	4
2	2	43	0	[6, 2, 4]	2	1	1.004178018287348	0	0	pure_pref	pure_pref	4
3	2	44	0	[5, 3, 1]	2	1	1.2041817503250059	0	0	pure_pref	pure_pref	4
4	2	45	0	[4, 6, 2]	2	2	0.9602528456798609	1	0	pure_pref	pure_pref	4
5	2	46	0	[2, 6, 4]	2	2	1.1922967593454814	1	0	pure_pref	pure_pref	4
6	2	47	0	[3, 5, 1]	2	1	0.6643077066619298	0	0	pure_pref	pure_pref	4
7	2	48	0	[4, 2, 6]	2	1	1.8762542762960948	0	0	pure_pref	pure_pref	4
8	2	49	0	[3, 5, 1]	2	1	1.0922547738991852	0	0	pure_pref	pure_pref	4
9	2	50	0	[6, 4, 2]	2	1	1.0803206443997624	0	0	pure_pref	pure_pref	4
10	2	51	0	[1, 3, 5]	2	2	1.4322970703487954	1	0	pure_pref	pure_pref	4
11	2	52	0	[4, 2, 6]	2	1	0.9324423088874028	0	0	pure_pref	pure_pref	4
12	2	53	0	[6, 2, 4]	2	2	1.3970236984514486	1	0	pure_pref	pure_pref	4
13	2	54	0	[5, 3, 1]	2	1	1.4411727934311784	0	0	pure_pref	pure_pref	4
14	2	55	0	[1, 3, 5]	2	2	0.804405361697718	1	0	pure_pref	pure_pref	4
15	2	56	0	[5, 3, 1]	2	1	0.7291086645509495	0	0	pure_pref	pure_pref	4
16	2	57	0	[3, 5, 1]	2	1	0.5484875909678522	0	0	pure_pref	pure_pref	4
17	2	58	0	[5, 3, 1]	2	1	1.2645092367965844	0	0	pure_pref	pure_pref	4
18	2	59	0	[4, 6, 2]	2	2	1.0805535858689836	1	0	pure_pref	pure_pref	4
19	2	60	0	[3, 1, 5]	2	2	0.8447319151582633	1	0	pure_pref	pure_pref	4
0	3	61	0	[6, 2, 4]	2	1	1.652831685016281	0	0	pure_pref	pure_pref	4
1	3	62	0	[4, 2, 6]	2	1	0.9329029047712538	0	0	pure_pref	pure_pref	4
2	3	63	0	[6, 2, 4]	2	1	1.4169300864577963	0	0	pure_pref	pure_pref	4
3	3	64	0	[2, 6, 4]	2	2	1.420934253903397	1	0	pure_pref	pure_pref	4
4	3	65	0	[4, 6, 2]	2	2	1.1169686508674204	1	0	pure_pref	pure_pref	4
5	3	66	0	[5, 3, 1]	2	1	1.0649872488647816	0	0	pure_pref	pure_pref	4
6	3	67	0	[1, 3, 5]	2	2	0.9849965789635462	1	0	pure_pref	pure_pref	4
7	3	68	0	[2, 6, 4]	2	2	0.9972690800514101	1	0	pure_pref	pure_pref	4
8	3	69	0	[1, 3, 5]	2	2	0.5331831187413627	1	0	pure_pref	pure_pref	4
9	3	70	0	[4, 2, 6]	2	1	0.9495866766192194	0	0	pure_pref	pure_pref	4
10	3	71	0	[1, 3, 5]	2	2	1.0371474777639378	1	0	pure_pref	pure_pref	4
11	3	72	0	[6, 4, 2]	2	1	1.4017151831812953	0	0	pure_pref	pure_pref	4
12	3	73	0	[2, 4, 6]	2	1	1.1051327984077943	0	0	pure_pref	pure_pref	4
13	3	74	0	[3, 1, 5]	2	2	0.7613827206569113	1	0	pure_pref	pure_pref	4
14	3	75	0	[2, 4, 6]	2	1	0.9171823101332848	0	0	pure_pref	pure_pref	4
