trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[4, 6, 2]	2	2	0.798265840224758	1	0	pure_pref	pure_pref	4
1	0	2	0	[1, 5, 3]	2	1	1.458691480660491	0	0	pure_pref	pure_pref	4
2	0	3	0	[6, 2, 4]	2	1	1.4866918165444076	0	0	pure_pref	pure_pref	4
3	0	4	0	[1, 5, 3]	2	1	1.702985951937535	0	0	pure_pref	pure_pref	4
4	0	5	0	[4, 6, 2]	2	2	1.5973856981577228	1	0	pure_pref	pure_pref	4
5	0	6	0	[1, 5, 3]	2	1	1.6793063982904641	0	0	pure_pref	pure_pref	4
6	0	7	0	[6, 2, 4]	2	1	2.075308749483156	0	0	pure_pref	pure_pref	4
7	0	8	0	[5, 3, 1]	2	1	1.0117074445088292	0	0	pure_pref	pure_pref	4
8	0	9	0	[4, 6, 2]	2	2	1.9554085196509732	1	0	pure_pref	pure_pref	4
9	0	10	0	[1, 5, 3]	2	1	1.9754060938175826	0	0	pure_pref	pure_pref	4
10	0	11	0	[3, 5, 1]	2	1	1.103640926917251	0	0	pure_pref	pure_pref	4
11	0	12	0	[2, 6, 4]	2	0	0	nan	0	pure_pref	pure_pref	4
12	0	13	0	[1, 3, 5]	2	2	2.3715900715001226	1	0	pure_pref	pure_pref	4
13	0	14	0	[2, 6, 4]	2	2	2.1317445162176227	1	0	pure_pref	pure_pref	4
14	0	15	0	[5, 1, 3]	2	2	1.303517147220191	1	0	pure_pref	pure_pref	4
15	0	16	0	[1, 5, 3]	2	1	1.8314888707122918	0	0	pure_pref	pure_pref	4
16	0	17	0	[2, 4, 6]	2	1	1.2836212714473731	0	0	pure_pref	pure_pref	4
17	0	18	0	[6, 4, 2]	2	1	1.835570801675658	0	0	pure_pref	pure_pref	4
18	0	19	0	[1, 3, 5]	2	2	1.3717477506615978	1	0	pure_pref	pure_pref	4
