trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[6, 2, 4]	2	2	1.0965827064046607	1	0	pure_pref	pure_pref	4
1	0	2	0	[2, 6, 4]	2	2	1.4423068908781715	1	0	pure_pref	pure_pref	4
2	0	3	0	[3, 5, 1]	2	1	0.6577780127572623	0	0	pure_pref	pure_pref	4
3	0	4	0	[4, 2, 6]	2	2	0.7298126832965863	1	0	pure_pref	pure_pref	4
4	0	5	0	[3, 5, 1]	2	1	0.4846374179342092	0	0	pure_pref	pure_pref	4
5	0	6	0	[1, 5, 3]	2	2	0.9783956011824557	1	0	pure_pref	pure_pref	4
6	0	7	0	[3, 5, 1]	2	2	1.4023888088922831	1	0	pure_pref	pure_pref	4
7	0	8	0	[5, 3, 1]	2	1	0.966555431499728	0	0	pure_pref	pure_pref	4
8	0	9	0	[6, 2, 4]	2	2	1.4785265331638584	1	0	pure_pref	pure_pref	4
9	0	10	0	[3, 1, 5]	2	2	0.7705095151159185	1	0	pure_pref	pure_pref	4
10	0	11	0	[5, 1, 3]	2	2	0.6904867497460145	1	0	pure_pref	pure_pref	4
11	0	12	0	[3, 1, 5]	2	2	0.8665949287960757	1	0	pure_pref	pure_pref	4
12	0	13	0	[2, 4, 6]	2	1	1.0985532171634986	0	0	pure_pref	pure_pref	4
13	0	14	0	[4, 2, 6]	2	2	0.5865793164784918	1	0	pure_pref	pure_pref	4
14	0	15	0	[2, 4, 6]	2	1	0.9905803614465185	0	0	pure_pref	pure_pref	4
15	0	16	0	[1, 5, 3]	2	2	0.42661557935116434	1	0	pure_pref	pure_pref	4
16	0	17	0	[4, 6, 2]	2	1	0.8751652199880482	0	0	pure_pref	pure_pref	4
17	0	18	0	[5, 3, 1]	2	1	0.5347081709642225	0	0	pure_pref	pure_pref	4
18	0	19	0	[4, 6, 2]	2	1	0.5466506604134338	0	0	pure_pref	pure_pref	4
19	0	20	0	[3, 1, 5]	2	2	0.43471283599956223	1	0	pure_pref	pure_pref	4
0	1	21	0	[1, 3, 5]	2	1	1.37480010325271	0	0	pure_pref	pure_pref	4
1	1	22	0	[6, 4, 2]	2	1	0.8068706634612681	0	0	pure_pref	pure_pref	4
2	1	23	0	[2, 4, 6]	2	1	1.5154555717626863	0	0	pure_pref	pure_pref	4
3	1	24	0	[4, 2, 6]	2	2	0.8027508156028489	1	0	pure_pref	pure_pref	4
4	1	25	0	[6, 2, 4]	2	2	0.9348353709165167	1	0	pure_pref	pure_pref	4
5	1	26	0	[3, 1, 5]	2	2	1.122782475641543	1	0	pure_pref	pure_pref	4
6	1	27	0	[1, 3, 5]	2	1	1.034859318096096	0	0	pure_pref	pure_pref	4
7	1	28	0	[2, 6, 4]	2	2	0.8754320599864513	1	0	pure_pref	pure_pref	4
8	1	29	0	[5, 1, 3]	2	2	0.4988987407514287	1	0	pure_pref	pure_pref	4
9	1	30	0	[1, 5, 3]	2	2	0.8514285891997133	1	0	pure_pref	pure_pref	4
10	1	31	0	[2, 4, 6]	2	1	0.5429957610385827	0	0	pure_pref	pure_pref	4
11	1	32	0	[4, 2, 6]	2	2	0.6156583452811901	1	0	pure_pref	pure_pref	4
12	1	33	0	[3, 5, 1]	2	1	0.6790309789421372	0	0	pure_pref	pure_pref	4
13	1	34	0	[1, 5, 3]	2	2	0.9190855909509992	1	0	pure_pref	pure_pref	4
14	1	35	0	[4, 6, 2]	2	1	0.5351093639692408	0	0	pure_pref	pure_pref	4
15	1	36	0	[2, 6, 4]	2	2	0.8673730566242739	1	0	pure_pref	pure_pref	4
16	1	37	0	[5, 1, 3]	2	2	0.5874914863106824	1	0	pure_pref	pure_pref	4
17	1	38	0	[2, 6, 4]	2	2	0.6555860683401988	1	0	pure_pref	pure_pref	4
18	1	39	0	[6, 2, 4]	2	2	0.4670710733626038	1	0	pure_pref	pure_pref	4
19	1	40	0	[4, 2, 6]	2	2	0.5312796812841043	1	0	pure_pref	pure_pref	4
0	2	41	0	[5, 1, 3]	2	2	0.5713262072331418	1	0	pure_pref	pure_pref	4
1	2	42	0	[6, 4, 2]	2	1	0.5754849303821175	0	0	pure_pref	pure_pref	4
2	2	43	0	[5, 1, 3]	2	2	0.415310333673915	1	0	pure_pref	pure_pref	4
3	2	44	0	[4, 2, 6]	2	1	0.5076208010796108	0	0	pure_pref	pure_pref	4
4	2	45	0	[2, 4, 6]	2	1	1.1354082372072298	0	0	pure_pref	pure_pref	4
5	2	46	0	[6, 4, 2]	2	1	0.5833797245149981	0	0	pure_pref	pure_pref	4
6	2	47	0	[2, 4, 6]	2	1	0.7433220024822731	0	0	pure_pref	pure_pref	4
7	2	48	0	[1, 5, 3]	2	2	0.40743979772378225	1	0	pure_pref	pure_pref	4
8	2	49	0	[2, 4, 6]	2	1	0.619414631415566	0	0	pure_pref	pure_pref	4
9	2	50	0	[5, 3, 1]	2	1	0.5601049321858227	0	0	pure_pref	pure_pref	4
10	2	51	0	[4, 6, 2]	2	2	0.5034997092125195	1	0	pure_pref	pure_pref	4
11	2	52	0	[2, 6, 4]	2	2	0.7874467019755684	1	0	pure_pref	pure_pref	4
12	2	53	0	[6, 2, 4]	2	2	0.5075386964654172	1	0	pure_pref	pure_pref	4
13	2	54	0	[4, 2, 6]	2	2	0.9954152036607411	1	0	pure_pref	pure_pref	4
